+ ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
| ;  ;+ ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;+ ;  
| ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;| ;  
| ;  ;+ ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;+ ;  ;| ;  
| ;  ;| ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;| ;  ;| ;  
| ;  ;| ;  ;+ ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;+ ;  ;| ;  ;| ;  
| ;  ;| ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;| ;  ;| ;  ;| ;  
| ;  ;| ;  ;+ ;- ;- ;- ;- ;- ;- ;- ;- ;- ;+ ;  ;| ;  ;| ;  ;| ;  
| ;  ;| ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;| ;  ;| ;  ;| ;  ;| ;  
| ;  ;| ;  ;+ ;  ;+ ;  ;+ ;  ;+ ;  ;+ ;  ;| ;  ;| ;  ;| ;  ;| ;  
| ;  ;| ;  ;| ;  ;  ;  ;  ;  ;  ;  ;  ;  ;| ;  ;| ;  ;| ;  ;| ;  
| ;  ;| ;  ;| ;  ;+ ;  ;+ ;  ;+ ;  ;+ ;  ;| ;  ;| ;  ;| ;  ;| ;  
| ;  ;| ;  ;| ;  ;  ;  ;  ;  ;  ;  ;  ;  ;| ;  ;| ;  ;| ;  ;| ;  
| ;  ;| ;  ;| ;  ;+ ;- ;- ;- ;- ;- ;- ;- ;+ ;  ;| ;  ;| ;  ;| ;  
| ;  ;| ;  ;| ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;| ;  ;| ;  ;| ;  
| ;  ;| ;  ;| ;  ;+ ;- ;- ;- ;- ;- ;- ;- ;- ;- ;+ ;  ;| ;  ;| ;  
| ;  ;| ;  ;| ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;| ;  ;| ;  
| ;  ;| ;  ;+ ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;+ ;  ;| ;  
| ;  ;| ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;| ;  
| ;  ;+ ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;+ ;  
| ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 
+ ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;+ 
