#1;  ;  ;  ;  ;  ;  ;  ;  ;+ ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#2
  ;  ;  ;  ;  ;  ;  ;  ;  ;| ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
  ;  ;  ;  ;  ;  ;  ;  ;  ;| ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
  ;  ;  ;  ;  ;  ;  ;  ;  ;+ ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
  ;  ;  ;  ;§4;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;§1;  ;  ;  ;  
  ;  ;  ;  ;  ;  ;  ;  ;  ;+ ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
  ;  ;  ;  ;  ;  ;  ;  ;  ;| ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
  ;  ;  ;  ;  ;  ;  ;  ;  ;| ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
  ;  ;  ;  ;  ;  ;  ;  ;  ;+ ;@2;  ;  ;  ;  ;  ;  ;  ;  ;  
  ;  ;  ;  ;  ;  ;  ;  ;@1;+ ;+ ;+ ;- ;- ;+ ;  ;+ ;- ;- ;+ 
+ ;- ;- ;+ ;  ;+ ;- ;- ;+ ;+ ;+ ;@3;  ;  ;  ;  ;  ;  ;  ;  
  ;  ;  ;  ;  ;  ;  ;  ;  ;@4;+ ;  ;  ;  ;  ;  ;  ;  ;  ;  
  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;| ;  ;  ;  ;  ;  ;  ;  ;  ;  
  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;| ;  ;  ;  ;  ;  ;  ;  ;  ;  
  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;+ ;  ;  ;  ;  ;  ;  ;  ;  ;  
  ;  ;  ;  ;§3;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;§2;  ;  ;  ;  
  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;+ ;  ;  ;  ;  ;  ;  ;  ;  ;  
  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;| ;  ;  ;  ;  ;  ;  ;  ;  ;  
  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;| ;  ;  ;  ;  ;  ;  ;  ;  ;  
#4;  ;  ;  ;  ;  ;  ;  ;  ;  ;+ ;  ;  ;  ;  ;  ;  ;  ;  ;#3
