+ ;v1;+ ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;+ ;v2;+ 
| ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;| 
| ;  ;+ ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;+ ;  ;| 
| ;  ;| ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;| 
| ;  ;| ;  ;+ ;  ;+ ;- ;- ;- ;- ;- ;- ;- ;+ ;  ;+ ;  ;+ ;  ;| 
| ;  ;| ;  ;| ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;| ;  ;| ;  ;| 
| ;  ;| ;  ;| ;  ;+ ;- ;- ;- ;- ;- ;- ;- ;+ ;  ;| ;  ;| ;  ;| 
| ;  ;| ;  ;| ;  ;  ;  ;  ;  ;  ;  ;  ;  ;| ;  ;| ;  ;| ;  ;| 
| ;  ;| ;  ;| ;  ;+ ;  ;+ ;- ;- ;- ;+ ;  ;| ;  ;| ;  ;+ ;  ;| 
| ;  ;| ;  ;| ;  ;| ;  ;| ;  ;  ;  ;| ;  ;| ;  ;| ;  ;  ;  ;| 
| ;  ;| ;  ;| ;  ;| ;  ;| ;  ;@1;  ;| ;  ;| ;  ;| ;  ;§1;  ;| 
| ;  ;| ;  ;| ;  ;| ;  ;| ;  ;  ;  ;| ;  ;| ;  ;| ;  ;  ;  ;| 
| ;  ;| ;  ;| ;  ;+ ;  ;+ ;  ;  ;  ;+ ;  ;| ;  ;| ;  ;+ ;  ;| 
| ;  ;| ;  ;| ;  ;  ;  ;  ;  ;  ;  ;  ;  ;| ;  ;| ;  ;| ;  ;| 
| ;  ;| ;  ;| ;  ;+ ;- ;- ;- ;- ;- ;- ;- ;+ ;  ;| ;  ;| ;  ;| 
| ;  ;| ;  ;| ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;| ;  ;| ;  ;| 
| ;  ;| ;  ;+ ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;+ ;  ;+ ;  ;| 
| ;  ;| ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;| 
| ;  ;+ ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;+ ;  ;| 
| ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;| 
+ ;^4;+ ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;+ ;^3;+ 
